Version,MsgSize,Threads,Throughput_Gbps,Latency_us,Cycles,L1_Misses,LLC_Misses,ContextSwitches
A1,1024,1,0.917316,8.930,<not supported>,<not supported>,<not supported>,10134
A1,1024,2,0.986151,8.307,<not supported>,<not supported>,<not supported>,4534
A1,1024,4,0.988571,8.287,<not supported>,<not supported>,<not supported>,5828
A1,1024,8,0.954894,8.579,<not supported>,<not supported>,<not supported>,8227
A1,4096,1,2.414667,13.570,<not supported>,<not supported>,<not supported>,7335
A1,4096,2,2.396619,13.673,<not supported>,<not supported>,<not supported>,12158
A1,4096,4,2.355888,13.909,<not supported>,<not supported>,<not supported>,6005
A1,4096,8,2.386801,13.729,<not supported>,<not supported>,<not supported>,9050
A1,16384,1,8.403367,15.598,<not supported>,<not supported>,<not supported>,5799
A1,16384,2,8.458914,15.495,<not supported>,<not supported>,<not supported>,7026
A1,16384,4,8.628784,15.190,<not supported>,<not supported>,<not supported>,7378
A1,16384,8,8.530742,15.365,<not supported>,<not supported>,<not supported>,6187
A1,65536,1,19.472685,26.924,<not supported>,<not supported>,<not supported>,14408
A1,65536,2,19.659331,26.669,<not supported>,<not supported>,<not supported>,11364
A1,65536,4,19.785895,26.498,<not supported>,<not supported>,<not supported>,11346
A1,65536,8,19.868523,26.388,<not supported>,<not supported>,<not supported>,14002
A2,1024,1,4.296946,1.906,<not supported>,<not supported>,<not supported>,5841
A2,1024,2,4.293642,1.908,<not supported>,<not supported>,<not supported>,7810
A2,1024,4,4.197384,1.952,<not supported>,<not supported>,<not supported>,4800
A2,1024,8,4.153644,1.972,<not supported>,<not supported>,<not supported>,8750
A2,4096,1,12.683628,2.583,<not supported>,<not supported>,<not supported>,6197
A2,4096,2,12.607082,2.599,<not supported>,<not supported>,<not supported>,6858
A2,4096,4,12.672144,2.586,<not supported>,<not supported>,<not supported>,7145
A2,4096,8,12.947921,2.531,<not supported>,<not supported>,<not supported>,9276
A2,16384,1,19.218615,6.820,<not supported>,<not supported>,<not supported>,3827
A2,16384,2,20.255971,6.471,<not supported>,<not supported>,<not supported>,2561
A2,16384,4,18.997890,6.899,<not supported>,<not supported>,<not supported>,2979
A2,16384,8,19.640877,6.673,<not supported>,<not supported>,<not supported>,2567
A2,65536,1,24.407281,21.481,<not supported>,<not supported>,<not supported>,3056
A2,65536,2,22.188389,23.629,<not supported>,<not supported>,<not supported>,4063
A2,65536,4,24.494522,21.404,<not supported>,<not supported>,<not supported>,3090
A2,65536,8,24.961350,21.004,<not supported>,<not supported>,<not supported>,2781
A3,1024,1,2.823999,2.901,<not supported>,<not supported>,<not supported>,8000
A3,1024,2,2.781046,2.946,<not supported>,<not supported>,<not supported>,6945
A3,1024,4,2.811454,2.914,<not supported>,<not supported>,<not supported>,11664
A3,1024,8,2.788018,2.938,<not supported>,<not supported>,<not supported>,7884
A3,4096,1,7.720665,4.244,<not supported>,<not supported>,<not supported>,2459
A3,4096,2,7.643490,4.287,<not supported>,<not supported>,<not supported>,1710
A3,4096,4,7.954288,4.120,<not supported>,<not supported>,<not supported>,1791
A3,4096,8,7.812048,4.195,<not supported>,<not supported>,<not supported>,2411
A3,16384,1,17.712207,7.400,<not supported>,<not supported>,<not supported>,3316
A3,16384,2,17.429308,7.520,<not supported>,<not supported>,<not supported>,3661
A3,16384,4,17.564154,7.462,<not supported>,<not supported>,<not supported>,2933
A3,16384,8,17.429511,7.520,<not supported>,<not supported>,<not supported>,2940
A3,65536,1,21.116642,24.828,<not supported>,<not supported>,<not supported>,2563
A3,65536,2,21.703845,24.156,<not supported>,<not supported>,<not supported>,1772
A3,65536,4,21.269316,24.650,<not supported>,<not supported>,<not supported>,2400
A3,65536,8,19.522174,26.856,<not supported>,<not supported>,<not supported>,11790
